user_path_Compressed_no_Counts,is_frustrated,frustrated_reasons
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~Shopping Cart~Checkout Your Information~Payment Method~Home~Shopping Cart~Checkout Your Information~Payment Method~product detail page,Y,form_friction|payment_friction
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~product detail page,Y,price_shock
Home~Store search results~product detail page~Store search results~Frequently Asked Questions~product detail page,N,
Home~product detail page~Store search results~product detail page~Home~product detail page~Home~product detail page~Home,Y,indecision
Shopping Cart~product detail page~Home~Page Unavailable~product detail page~Page Unavailable,Y,technical_issue
Home~product detail page~Home~product detail page~Home~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Home~product detail page~Home~Shopping Cart~Home,Y,indecision|price_shock
product detail page~Home~Shipping Information~product detail page,N,
Home~product detail page~Home~Page Unavailable~Home~product detail page,Y,technical_issue
Page Unavailable~product detail page~Home~Store search results~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Shopping Cart,Y,form_friction|technical_issue
product detail page~Store search results~Home~product detail page~Home~Store search results,N,
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Shipping Information~Home~product detail page~Home~product detail page,Y,indecision
Home~product detail page~Home~Shopping Cart~Home~product detail page~Shopping Cart~Home~product detail page~Shopping Cart~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Home,Y,form_friction|indecision|price_shock
Home~product detail page~Home~product detail page~Shopping Cart~Home~product detail page~Home,Y,indecision
product detail page~Home~Frequently Asked Questions~Home,N,
product detail page~Home~product detail page~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~The Google Merchandise Store - My Account~product detail page,Y,price_shock
product detail page~Home~product detail page~Frequently Asked Questions~Home,N,
Home~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Home~Shopping Cart~Home,Y,form_friction|price_shock
product detail page~Shopping Cart~Home~Shopping Cart~product detail page~Shopping Cart~product detail page,Y,indecision
Home~product detail page~Home~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Checkout Your Information~Payment Method~Home~product detail page~Shopping Cart,Y,indecision|payment_friction
Home~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Return Policy,Y,price_shock
Page Unavailable~Shopping Cart~product detail page,Y,technical_issue
Home~product detail page~Shopping Cart~Shipping Information~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Payment Method,Y,form_friction
Home~product detail page~Page Unavailable~product detail page~Page Unavailable~product detail page~Page Unavailable~Home~product detail page,Y,technical_issue
Home~product detail page~Home~product detail page~Home~product detail page~Shopping Cart~product detail page~Home~Shopping Cart~Checkout Your Information,Y,indecision
Home~product detail page~Shopping Cart~product detail page~Store search results~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review~product detail page,Y,form_friction
product detail page~Home~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~The Google Merchandise Store - Register~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,account_blocked
Home~product detail page~Shopping Cart~Shipping Information~Frequently Asked Questions~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page,Y,indecision
Shopping Cart~Home~The Google Merchandise Store - Log In~Home~product detail page,N,
Home~product detail page~Terms of Use~Return Policy~product detail page~Shopping Cart~product detail page~Store search results~product detail page~Store search results,Y,indecision
product detail page~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Home~product detail page~Home~product detail page~Home~product detail page~Shopping Cart,Y,indecision
Home~product detail page~Shipping Information~Frequently Asked Questions~product detail page~The Google Merchandise Store - Log In~The Google Merchandise Store - My Account~The Google Merchandise Store - Log In~Home~product detail page~The Google Merchandise Store - My Account,Y,account_blocked
Home~The Google Merchandise Store - Log In~product detail page~The Google Merchandise Store - My Account~product detail page~Shopping Cart~Checkout Your Information,Y,price_shock
Home~product detail page~Home~product detail page~The Google Merchandise Store - My Account~product detail page,N,
Home~product detail page~Shopping Cart~Home~Shopping Cart~Checkout Your Information~Payment Method~Shopping Cart~product detail page,Y,form_friction|payment_friction
product detail page~Shipping Information~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page,Y,indecision
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Home~product detail page~Shopping Cart,Y,account_blocked|form_friction
Clearance Sale~product detail page~Clearance Sale~Home,N,
Home~product detail page~Frequently Asked Questions~product detail page~Shopping Cart~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Frequently Asked Questions,Y,indecision
Home~product detail page~Home~product detail page~Shopping Cart~product detail page~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,indecision
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~product detail page~The Google Merchandise Store - My Account,Y,indecision
product detail page~Frequently Asked Questions~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Shipping Information~product detail page,Y,form_friction|indecision
Page Unavailable~The Google Merchandise Store - Log In~product detail page,Y,technical_issue
Home~product detail page~Frequently Asked Questions~product detail page~Home~product detail page~Frequently Asked Questions~Home~product detail page,Y,indecision
Home~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart,Y,indecision
product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page,N,
product detail page~Home~Shipping Information~Home~product detail page~Home~Store search results~product detail page~Shopping Cart~Store search results~product detail page,Y,indecision
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Shipping Information~Frequently Asked Questions~Checkout Your Information,Y,form_friction
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review,Y,form_friction|payment_friction
product detail page~Shopping Cart~The Google Merchandise Store - Log In~The Google Merchandise Store - Register~Shipping Information~Frequently Asked Questions,Y,account_blocked
Home~product detail page~Home~product detail page~Home~product detail page~Store search results~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Home~product detail page,Y,indecision
Home~product detail page~Store search results~The Google Merchandise Store - Log In~Home~The Google Merchandise Store - Log In,Y,account_blocked
Home~The Google Merchandise Store - Log In~Home~Your Wishlist~Home~product detail page~Shopping Cart~product detail page~Shopping Cart~Store search results~product detail page~Shopping Cart~Store search results~product detail page~Shopping Cart~product detail page~Shopping Cart,Y,indecision
product detail page~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Home~The Google Merchandise Store - My Account~product detail page,N,
product detail page~The Google Merchandise Store - Log In~Home~The Google Merchandise Store - Log In~Home~product detail page~Clearance Sale~product detail page,Y,account_blocked
Home~The Google Merchandise Store - Log In~Home~The Google Merchandise Store - My Account~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review,Y,form_friction|payment_friction
Home~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review,Y,payment_friction
Home~Spring Sale~product detail page~Spring Sale~product detail page,N,
product detail page~Clearance Sale~product detail page~Shopping Cart~Clearance Sale~product detail page~Shopping Cart~product detail page~Clearance Sale~product detail page~Shopping Cart,Y,indecision
Home~Shipping Information~Home~product detail page~Home~Frequently Asked Questions,N,
Home~Store search results~Shopping Cart~Store search results~product detail page~Store search results~Home,Y,search_struggle
Page Unavailable~Home~Store search results~Page Unavailable~product detail page,Y,technical_issue
Shipping Information~product detail page,N,
product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~product detail page,Y,indecision
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Your Wishlist~The Google Merchandise Store - My Account,Y,price_shock
Home~product detail page~Home~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Home~Shopping Cart~Checkout Your Information,Y,form_friction|indecision
product detail page~Home~product detail page~Shopping Cart~product detail page~Shopping Cart~Home~product detail page~Shopping Cart,Y,indecision
Home~product detail page~Home~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~Payment Method~Home,Y,indecision|payment_friction
Home~product detail page~Store search results~product detail page~Store search results~Shopping Cart~product detail page,Y,price_shock
Page Unavailable~product detail page~Home~The Google Merchandise Store - Log In~product detail page~Home,Y,technical_issue
product detail page~Home~product detail page~Home~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page,Y,indecision
product detail page~Home~product detail page~Shopping Cart~Frequently Asked Questions~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,form_friction|indecision
product detail page~Shopping Cart~Home~product detail page~Home~product detail page,Y,indecision|price_shock
Home~product detail page~Home~Store search results~Shopping Cart~Store search results,Y,price_shock
Home~product detail page~Shopping Cart~Page Unavailable~Home~Page Unavailable,Y,price_shock|technical_issue
product detail page~Spring Sale,N,
Home~Shopping Cart~Home~Frequently Asked Questions~Home~Shopping Cart~product detail page~Home~Shopping Cart~Home,Y,form_friction|indecision
product detail page~Store search results~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart,Y,form_friction
Home~product detail page~Shopping Cart~product detail page~Home~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Payment Method~Checkout Your Information~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart,Y,account_blocked|form_friction|indecision|payment_friction
Shopping Cart~The Google Merchandise Store - Log In~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In,Y,account_blocked|form_friction
Home~product detail page~Home~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page,Y,indecision
Home~product detail page~Return Policy~product detail page,N,
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~product detail page~Shopping Cart,Y,form_friction|indecision
Home~product detail page~Store search results~Home~Shopping Cart~Home,Y,price_shock
product detail page~Frequently Asked Questions~product detail page~Shipping Information~product detail page~Shopping Cart~Home~product detail page~Shopping Cart,Y,indecision
product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Home,Y,form_friction|indecision|price_shock
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~Payment Method~Checkout Review,N,
Home~product detail page~Home~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~product detail page~Shopping Cart,Y,form_friction|indecision
product detail page~Home~The Google Merchandise Store - Log In~Shipping Information~product detail page,N,
Home~Clearance Sale~Home~product detail page~Home~product detail page~Clearance Sale,N,
Page Unavailable~product detail page~Shopping Cart~The Google Merchandise Store - Log In~The Google Merchandise Store - Register,Y,technical_issue
Home~Shopping Cart~Home~product detail page~Home~Page Unavailable~Home~The Google Merchandise Store - Log In~Home~Page Unavailable~Home~Page Unavailable~Home~product detail page~Home~Page Unavailable~The Google Merchandise Store - Log In~Shopping Cart~Page Unavailable,Y,account_blocked|technical_issue
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~product detail page,Y,account_blocked|form_friction|indecision
Page Unavailable~The Google Merchandise Store - Log In~Home~product detail page~Page Unavailable,Y,technical_issue
Home~product detail page~Store search results~product detail page~Store search results~product detail page~Store search results~product detail page,Y,indecision|search_struggle
Home~The Google Merchandise Store - Log In~Home~Store search results~Home~product detail page,N,
Home~The Google Merchandise Store - Log In~Shopping Cart~product detail page~Home,N,
Home~product detail page~Home~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home,Y,indecision|price_shock
Home~product detail page~Shopping Cart~product detail page~Home~product detail page~Home~Shopping Cart,Y,indecision
product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~The Google Merchandise Store - Register~The Google Merchandise Store - Log In,Y,account_blocked|form_friction
Shopping Cart~product detail page~Shopping Cart~Checkout Your Information~Payment Method,N,
Home~Store search results~Home~The Google Merchandise Store - My Account~Home~The Google Merchandise Store - My Account~product detail page,N,
Home~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Your Information~Shopping Cart,Y,form_friction|payment_friction
Shopping Cart~Home~The Google Merchandise Store - Log In~Home~Shopping Cart~product detail page,N,
Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Your Information~Payment Method~Checkout Review~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review,Y,form_friction|payment_friction
Home~The Google Merchandise Store - Log In~product detail page~Home~product detail page,N,
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Your Information,Y,form_friction|payment_friction
Home~product detail page~Store search results~product detail page~The Google Merchandise Store - Log In~Home~Store search results~product detail page~Home~Store search results,Y,search_struggle
Home~The Google Merchandise Store - Log In~product detail page~Home~product detail page~Store search results~product detail page,N,
Home~Return Policy~The Google Merchandise Store - Log In~Home~product detail page~Home~The Google Merchandise Store - My Account~The Google Merchandise Store - Log In~The Google Merchandise Store - My Account~Home~The Google Merchandise Store - Log In~Home~Return Policy,Y,account_blocked
Home~product detail page~Store search results~The Google Merchandise Store - My Account~product detail page,N,
Home~product detail page~Shopping Cart~Shipping Information,N,
Home~product detail page~Home~product detail page~Shopping Cart~product detail page~Home~product detail page,Y,indecision
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart,Y,account_blocked|form_friction
Page Unavailable~product detail page~Page Unavailable~Home,Y,technical_issue
Home~The Google Merchandise Store - Log In~Home~The Google Merchandise Store - Log In~Home~The Google Merchandise Store - Log In~Home~Frequently Asked Questions~Home~Frequently Asked Questions~Home~product detail page~Home~Shopping Cart~The Google Merchandise Store - Log In~product detail page~The Google Merchandise Store - Log In~Shopping Cart~Checkout Your Information~Shopping Cart~Store search results~Home~product detail page~Shopping Cart~Store search results~product detail page~Store search results~Frequently Asked Questions~Store search results~Shopping Cart~product detail page~Shopping Cart,Y,account_blocked|form_friction|indecision
The Google Merchandise Store - Log In~The Google Merchandise Store - My Account~Shopping Cart~Home~The Google Merchandise Store - Log In~The Google Merchandise Store - My Account~product detail page~Store search results~Home,N,
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~product detail page~Shopping Cart,Y,form_friction|indecision
Home~Page Unavailable~The Google Merchandise Store - Log In~Home~product detail page,Y,technical_issue
Home~product detail page~Store search results~The Google Merchandise Store - Log In~Home~product detail page,N,
Home~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Payment Method,Y,payment_friction
Home~product detail page~Home~Store search results~product detail page~Store search results~product detail page~Store search results~product detail page,Y,indecision
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Home,Y,account_blocked|form_friction|price_shock
product detail page~Clearance Sale~product detail page~Clearance Sale~product detail page,N,
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~product detail page~Shopping Cart~Checkout Your Information~Payment Method,Y,indecision
product detail page~Store search results~Shopping Cart~product detail page~Store search results~Shopping Cart~product detail page~Home~product detail page~Home~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In,Y,account_blocked|indecision
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review~Payment Method~Checkout Review~Payment Method~Checkout Review,Y,form_friction|payment_friction
The Google Merchandise Store - Log In~product detail page~The Google Merchandise Store - Log In~The Google Merchandise Store - My Account,N,
Page Unavailable~product detail page~Store search results~product detail page,Y,technical_issue
Home~The Google Merchandise Store - Log In~product detail page~The Google Merchandise Store - Log In~product detail page~Home~The Google Merchandise Store - Log In~Home,Y,account_blocked
product detail page~Home~Page Unavailable,Y,technical_issue
Home~Clearance Sale~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Checkout Your Information~Payment Method,N,
Page Unavailable~Shopping Cart~Page Unavailable~product detail page,Y,technical_issue
Home~product detail page~Shipping Information~Frequently Asked Questions~product detail page~Shopping Cart,Y,price_shock
Home~Shopping Cart~The Google Merchandise Store - Log In~The Google Merchandise Store - Register~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information,Y,account_blocked
Shopping Cart~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In,Y,account_blocked|indecision
product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Home~product detail page~Shopping Cart~product detail page,Y,indecision
Shopping Cart~Home~product detail page~Shopping Cart~Store search results~product detail page~Home~product detail page~Shopping Cart~product detail page~Home~Shopping Cart,Y,indecision
Home~product detail page~Home~product detail page~Shopping Cart~Home,Y,price_shock
Home~product detail page~Home~product detail page~Shopping Cart~Home~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Home,Y,form_friction|indecision|price_shock
Home~product detail page~Page Unavailable~Home~Page Unavailable,Y,technical_issue
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information~Payment Method~product detail page,Y,payment_friction
Home~product detail page~Home~product detail page~Shopping Cart~Home~Shopping Cart~Shipping Information~Shopping Cart~The Google Merchandise Store - Log In,Y,indecision
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Shopping Cart~Home~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart,Y,form_friction|indecision
Home~product detail page~Store search results~product detail page~Store search results~product detail page~Shopping Cart~product detail page~Home,Y,indecision
Home~product detail page~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~product detail page,N,
Home~product detail page~Shopping Cart~Home~The Google Merchandise Store - Log In~Home~Shopping Cart,Y,price_shock
Home~product detail page~Home~The Google Merchandise Store - Log In~product detail page~Home,N,
Home~product detail page~Home~product detail page~The Google Merchandise Store - Log In~Home,N,
Home~Store search results~product detail page~Shopping Cart~Checkout Your Information,Y,price_shock
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Home~Shopping Cart~product detail page~Store search results~Shopping Cart~Home~Store search results~Shopping Cart~Home~Store search results~Shopping Cart,Y,indecision
Shopping Cart~Home~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Checkout Your Information~Shopping Cart~product detail page~Shopping Cart~Home~product detail page~Shopping Cart~Checkout Your Information~Shopping Cart~Checkout Your Information~product detail page~Shopping Cart,Y,form_friction|indecision
Home~The Google Merchandise Store - My Account~Store search results~product detail page~Home~Store search results~product detail page,N,
Page Unavailable~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Shopping Cart~Home,Y,form_friction|price_shock|technical_issue
The Google Merchandise Store - Log In~product detail page~The Google Merchandise Store - Log In~product detail page~The Google Merchandise Store - Log In,Y,account_blocked
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Home~Shopping Cart~Checkout Your Information~Payment Method~Checkout Your Information~Payment Method~Checkout Your Information~Payment Method,Y,form_friction|payment_friction
Home~Clearance Sale~Home~product detail page,N,
product detail page~Shipping Information~Home~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Shopping Cart~Home,Y,form_friction|price_shock
Home~The Google Merchandise Store - Log In~product detail page~Store search results~Shopping Cart~product detail page,N,
product detail page~Home~product detail page~Page Unavailable~product detail page~Page Unavailable~product detail page,Y,technical_issue
Store search results~product detail page~Store search results~product detail page~Store search results~product detail page~Store search results~product detail page~Page Unavailable~product detail page~Store search results~product detail page~Store search results,Y,indecision|search_struggle|technical_issue
Shopping Cart~Home~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,indecision
Page Unavailable~product detail page~The Google Merchandise Store - Log In~Home~product detail page,Y,technical_issue
Home~product detail page~Home~Shopping Cart~The Google Merchandise Store - Log In~The Google Merchandise Store - Register~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,account_blocked
Home~Shopping Cart~Home~The Google Merchandise Store - Log In~Home~Shopping Cart~Home~product detail page~Your Wishlist~product detail page~The Google Merchandise Store - My Account~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In,Y,account_blocked|indecision
Home~product detail page~Shopping Cart~product detail page~The Google Merchandise Store - Log In~Home~Shopping Cart~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Home~Frequently Asked Questions~Home~Payment Method~Checkout Review~product detail page,Y,indecision|payment_friction
product detail page~Home~product detail page~Page Unavailable~product detail page,Y,technical_issue
Home~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~product detail page~Shopping Cart~Checkout Your Information~Shopping Cart,Y,form_friction|indecision
Home~product detail page~Home~product detail page~Home~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Payment Method,Y,payment_friction
Home~The Google Merchandise Store - My Account~Home~product detail page,N,
Home~product detail page~Home~Store search results~product detail page~Home~product detail page~Home~product detail page,Y,indecision
product detail page~Shopping Cart~product detail page~The Google Merchandise Store - Log In~product detail page~Frequently Asked Questions,N,
Home~product detail page~Store search results~Shopping Cart~The Google Merchandise Store - Log In~product detail page~Shopping Cart~The Google Merchandise Store - Log In,Y,account_blocked|form_friction
product detail page~Store search results~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In,Y,account_blocked|form_friction
Home~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Checkout Your Information~Payment Method,Y,payment_friction
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~product detail page~Home~product detail page~Home~product detail page,Y,indecision
Home~Spring Sale~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~Checkout Your Information,Y,price_shock
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~product detail page~Shopping Cart~Checkout Your Information,Y,form_friction
Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Store search results~product detail page,Y,form_friction
Home~product detail page~Home~product detail page~Shopping Cart~Home~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~product detail page~Store search results~product detail page~Shopping Cart~product detail page~Store search results~Shopping Cart~The Google Merchandise Store - Log In~product detail page~Page Unavailable~product detail page~Page Unavailable~product detail page~Page Unavailable~product detail page,Y,form_friction|indecision|technical_issue
Home~product detail page~Home~product detail page~Shopping Cart~Return Policy~Home~product detail page,Y,price_shock
Home~product detail page~Return Policy~Frequently Asked Questions~Home~product detail page~Shopping Cart~Checkout Your Information~Payment Method,Y,payment_friction
Home~product detail page~Home~product detail page~Shopping Cart~product detail page~Home~product detail page~Shopping Cart~The Google Merchandise Store - Log In~product detail page~Shipping Information,Y,form_friction|indecision
Home~product detail page~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shipping Information~Return Policy,Y,form_friction
product detail page~Home~product detail page~Shipping Information~Frequently Asked Questions~product detail page~Spring Sale~product detail page,Y,indecision
product detail page~Shopping Cart~product detail page~The Google Merchandise Store - Log In,N,
Home~product detail page~Shopping Cart~Home~product detail page~Home~Shopping Cart~product detail page~Home,Y,indecision
product detail page~Shipping Information~product detail page~Shopping Cart~product detail page,N,
Shopping Cart~Home~Store search results~product detail page~Shopping Cart~product detail page~Store search results~Shopping Cart~The Google Merchandise Store - Log In~product detail page~The Google Merchandise Store - Log In~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In,Y,account_blocked|form_friction|indecision
Home~Shopping Cart~The Google Merchandise Store - Log In~The Google Merchandise Store - Register~The Google Merchandise Store - Log In~The Google Merchandise Store - Register~product detail page,Y,account_blocked
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~Payment Method~Checkout Review,N,
Home~product detail page~Home~Shopping Cart~The Google Merchandise Store - Log In~Checkout Your Information,Y,price_shock
Home~product detail page~Home~Shopping Cart~Home~product detail page~Clearance Sale~Home~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Payment Method,Y,form_friction|indecision|payment_friction
Home~Shopping Cart~Shipping Information~Frequently Asked Questions~Home~product detail page,Y,price_shock
product detail page~Home~product detail page~Shipping Information~product detail page,N,
Home~product detail page~The Google Merchandise Store - Log In~Shopping Cart,N,
product detail page~The Google Merchandise Store - Log In~Home~product detail page~Store search results,N,
Home~Store search results~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In,Y,account_blocked|form_friction
product detail page~Home~product detail page~Shopping Cart~Shipping Information~Shopping Cart~product detail page~Home~Frequently Asked Questions~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shopping Cart~The Google Merchandise Store - Log In,Y,account_blocked|form_friction|indecision
Home~Shopping Cart~The Google Merchandise Store - Log In~Home~product detail page~Shopping Cart~product detail page~Shopping Cart~Checkout Your Information~Payment Method~Checkout Review~Shopping Cart~Home,Y,form_friction|payment_friction
Home~The Google Merchandise Store - My Account~The Google Merchandise Store - Log In~The Google Merchandise Store - My Account~Shopping Cart~Checkout Your Information~Payment Method~Checkout Your Information~Shopping Cart~product detail page~Shopping Cart~product detail page~Shopping Cart~product detail page~Your Wishlist,Y,form_friction|indecision|payment_friction
Terms of Use~product detail page~Shopping Cart,N,
Home~Store search results~Home~Shopping Cart~product detail page~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information~Shopping Cart,Y,form_friction
Home~product detail page~Shopping Cart~The Google Merchandise Store - My Account,N,
product detail page~Home~Frequently Asked Questions~Home~product detail page~Home~product detail page,N,
product detail page~Shopping Cart~The Google Merchandise Store - Log In~Shipping Information~Shopping Cart~The Google Merchandise Store - Log In~Home~Shopping Cart~Checkout Your Information,Y,account_blocked|form_friction
product detail page~Home~Store search results~product detail page~Store search results~Home~product detail page,N,
